t-shirt,peppers,bourbon,cap,chicken,ball,pepsi,olives,sardines,artichok,ham,beans,beef,yogurt,icream,wine,applecidervineger,dress,raspberry,shoes
t,t,,t,,t,,t,,,t,,,,,,,t,,
t,t,t,t,t,,,,t,t,,,t,t,t,,,,t,t
t,,t,,,,,t,,,t,t,t,,,,,,,
t,t,,t,t,,,,,,,,t,t,,,,,,
,t,,t,,,,t,,t,,t,,,,,t,,t,
,t,t,,t,t,t,,t,,,t,,,,,,t,,
t,,t,t,,,,,,,,,,,t,,,,,
,,t,,t,,t,,,t,t,,,,,,t,t,t,t
t,t,t,,,t,,t,,,,,,t,,t,,,,
t,,,t,,,,,t,t,,t,,,,,,,,
,,t,,,t,,,,,,,,,,,,,,
,t,,,t,,,,,,,,,,t,t,,,,
t,,t,,,,,,,,t,,t,,,,t,,,
,,,,,,,,t,t,,,,,,,,,,
,t,,,t,t,t,,,,,,,,,,,,,
t,,,,,,,t,,,t,,,t,t,,t,,,t
,t,t,,,t,,t,,t,,t,t,,,,,t,t,
t,,,,,,,,,,,,,,,,,,,t
t,,,t,t,,,,,,,,,,t,,t,,,
,t,,t,,,,t,,,,,,,,,,,,
,,,,t,t,,,,t,,,,,,t,,,,
t,t,,t,,,,,t,,,t,,,,,,,,t
,,,,t,,t,,,,,,,t,,t,t,t,,
t,t,t,,,,,,,,,,,,,,,,t,t
,,t,t,,,,,t,,t,,,,t,,,,,
t,,t,,t,,,,,,t,,,,,,,,,
t,t,,t,,t,t,t,,,,,,,,t,,,,
,,,,,,t,,,t,,,t,t,,,,,,t
t,t,,t,,t,,t,t,,t,,,,t,,,,,
